ID,FISCAL_YEAR,Giving
1,2015,"$1,000"
1,2016,$600
2,2012,$100
2,2013,$55
2,2014,$160
2,2015,$135
2,2016,"$1,135"
3,2012,"$1,750"
3,2014,"$1,065"
3,2015,$80
3,2016,$35
4,2013,$555
4,2015,$285
4,2016,$885
5,2012,"$1,000"
5,2013,$555
7,2012,"$1,000"
7,2013,$250
8,2013,$175
8,2014,$175
9,2012,$115
9,2014,$275
9,2015,$250
9,2016,"$1,100"
10,2014,"$1,325"
10,2016,"$1,250"
11,2013,$250
11,2014,"$1,000"
11,2016,$150
13,2012,"$10,000"
13,2015,$1
14,2013,"$10,000"
15,2014,"$2,500"
16,2012,"$1,725"
16,2013,$25
16,2015,"$5,000"
17,2012,"$2,500"
17,2013,"$2,600"
17,2015,$1
19,2012,$500
19,2013,$581
19,2014,"$3,600"
19,2015,$200
19,2016,$1
21,2012,$85
21,2013,$221
21,2014,$1
22,2013,"$2,530"
22,2014,$750
22,2015,$106
22,2016,$50
23,2016,$100
24,2016,$25
25,2015,$200
25,2016,$690
28,2012,$100
28,2013,$500
29,2012,$251
29,2013,"$5,010"
29,2016,$585
30,2012,$520
30,2014,$300
31,2014,$1
31,2015,$1
32,2012,$200
32,2014,$600
32,2015,"$2,500"
32,2016,$120
33,2013,$500
34,2012,$1
35,2012,$150
36,2012,"$3,230"
36,2013,"$3,205"
36,2015,$170
38,2015,$420
38,2016,$450
39,2012,$350
39,2014,$300
39,2015,$190
39,2016,$500
40,2016,$110
41,2013,$20
42,2014,$500
42,2015,$35
44,2016,$1
45,2012,$51
45,2013,$120
45,2014,$700
46,2015,$500
46,2016,$26
47,2014,$200
47,2015,$630
48,2012,$1
48,2013,"$1,000"
48,2014,$660
48,2015,$300
48,2016,"$3,000"
49,2012,$150
49,2013,"$1,320"
49,2014,$50
49,2015,$550
51,2014,"$5,000"
52,2013,"$1,600"
52,2015,$200
52,2016,$45
53,2014,$500
53,2015,$50
53,2016,$25
54,2013,$101
54,2016,$50
55,2014,$60
55,2015,$336
55,2016,$960
56,2014,$25
57,2012,$281
57,2013,$204
57,2015,$700
57,2016,$1
58,2014,$585
58,2016,$1
59,2013,$300
59,2014,$300
59,2015,$50
60,2014,$40
60,2015,$85
60,2016,$250
61,2014,$40
64,2012,"$3,230"
64,2013,$101
64,2014,$556
65,2012,$100
65,2014,$500
66,2016,$100
68,2015,$121
68,2016,$1
69,2015,$880
70,2012,$1
70,2015,$140
70,2016,$631
71,2014,$260
71,2015,$1
71,2016,$1
72,2012,$221
72,2014,$45
72,2015,$100
72,2016,$300
73,2012,$270
73,2014,$227
73,2015,$1
73,2016,$150
74,2014,$50
74,2016,$100
75,2012,$570
75,2015,$200
76,2012,$700
76,2013,"$1,500"
76,2014,$60
77,2013,$75
77,2014,$100
78,2012,$320
79,2012,"$4,500"
79,2013,$150
81,2014,$50
82,2012,$200
82,2015,$300
83,2016,$100
84,2012,$644
84,2015,"$2,000"
85,2012,$150
85,2013,$550
85,2014,$301
85,2016,$500
86,2012,"$1,000"
88,2012,$100
89,2014,$25
89,2015,$1
90,2014,$150
91,2016,$400
92,2016,$765
93,2012,$500
93,2013,$376
94,2012,$100
94,2013,$100
95,2016,"$3,125"
96,2012,"$3,750"
96,2014,$51
97,2012,$100
99,2014,$460
99,2016,$101
100,2012,$1
100,2015,$200
100,2016,$5
